统计日期,新增疑似,新增确诊,新增死亡,新增治愈,现存确诊,累计确诊,累计死亡,累计治愈,港澳台,当日境外输入,累计境外输入
2020\1\24,1118,444,16,3,830,1287,41,38,10,0,0
2020\1\25,1309,688,15,11,1799,1975,56,49,11,0,0
2020\1\26,3806,769,24,2,2687,2744,80,51,17,0,0
2020\1\27,2077,1771,26,9,6973,4515,106,60,20,0,0
2020\1\28,3248,1459,26,43,5882,5974,132,103,23,0,0
2020\1\29,4148,1737,38,21,7620,7711,170,124,25,0,0
2020\1\30,4812,1982,43,47,9603,9692,213,171,28,0,0
2020\1\31,5019,2102,46,72,11696,11791,259,243,30,0,0
2020\2\1,4562,2590,45,85,14301,14380,304,328,31,0,0
2020\2\2,5173,2829,57,147,17124,17205,361,475,33,0,0
2020\2\3,5072,3255,64,157,20369,20438,425,632,33,0,0
2020\2\4,3971,3887,65,262,24205,24324,490,892,39,0,0
2020\2\5,5328,3694,73,261,26940,28081,563,1153,42,0,0
2020\2\6,4833,3143,73,387,28985,31161,636,1540,50,0,0
2020\2\7,4214,3399,86,510,31774,34546,722,2050,52,0,0
2020\2\8,3916,2656,89,600,33738,37198,811,2649,53,0,0
2020\2\9,4008,3062,97,632,35982,40171,908,3281,64,0,0
2020\2\10,3536,2478,108,716,37626,42638,1016,3996,70,0,0
2020\2\11,3342,2015,97,744,38800,44653,1113,4740,77,0,0
2020\2\12,2807,15152,254,1171,52526,59804,1367,5911,78,0,0
2020\2\13,2450,5090,121,1081,55748,63851,1380,6723,81,0,0
2020\2\14,2277,2641,143,1373,56873,66492,1523,8096,84,0,0
2020\2\15,1918,2009,142,1323,57416,68500,1665,9419,84,0,0
2020\2\16,1563,2048,105,1425,57934,70548,1770,10844,87,0,0
2020\2\17,1432,1886,98,1701,58016,72436,1868,12552,92,0,0
2020\2\18,1185,1749,136,1824,57805,74185,2004,14376,94,0,0
2020\2\19,1277,394,114,1779,56303,74576,2118,16155,99,0,0
2020\2\20,1614,889,118,2109,54965,75465,2236,18264,102,0,0
2020\2\21,1361,397,109,2393,53284,76288,2345,20659,104,0,0
2020\2\22,882,648,97,2230,51606,76936,2442,22888,105,0,0
2020\2\23,620,409,150,1846,49824,77150,2592,24734,112,0,0
2020\2\24,530,508,71,2589,47672,77658,2663,27323,121,0,0
2020\2\25,439,406,52,2422,45604,78064,2715,29745,126,0,0
2020\2\26,508,433,29,2750,43258,78497,2744,32495,133,0,0
2020\2\27,452,327,44,3622,39919,78824,2788,36117,135,0,0
2020\2\28,248,427,47,2885,37414,79251,2835,39002,138,0,0
2020\2\29,132,573,35,2623,35329,79824,2870,41625,144,0,0
2020\3\1,141,202,42,2837,32652,80026,2912,44462,148,4,4
2020\3\2,129,125,31,2742,30004,80151,2943,47204,151,6,10
2020\3\3,143,119,38,2652,27433,80270,2981,49856,152,8,18
2020\3\4,143,139,31,2189,25352,80409,3012,52045,156,2,20
2020\3\5,102,143,30,1681,23784,80552,3042,53726,158,16,36
2020\3\6,99,99,28,1678,22177,80651,3070,55404,162,24,60
2020\3\7,84,44,27,1661,20533,80695,3097,57065,164,3,63
2020\3\8,60,40,22,1535,19016,80735,3119,58600,169,4,67
2020\3\9,36,19,17,1297,17721,80754,3136,59897,170,2,69
2020\3\10,31,24,22,1578,16145,80778,3158,61475,177,10,79
2020\3\11,33,15,11,1318,14831,80793,3169,62793,187,6,85
2020\3\12,33,8,7,1318,13526,80813,3176,64111,190,3,88
2020\3\13,17,11,13,1430,12094,80824,3189,65541,197,7,95
2020\3\14,39,20,10,1370,19734,80844,3199,66911,204,16,111
2020\3\15,41,16,14,838,9898,80860,3213,67749,217,12,123
2020\3\16,45,21,13,930,8976,80881,3226,68679,235,20,143
2020\3\17,21,13,11,922,8056,80894,3237,69601,257,12,155
2020\3\18,23,34,8,819,7263,80928,3245,70420,307,34,189
2020\3\19,31,39,3,430,6569,80967,3248,71150,333,39,228
2020\3\20,36,41,7,590,6013,81008,3255,71740,408,41,269
2020\3\21,45,46,6,504,5549,81054,3261,72244,444,45,314
2020\3\22,47,39,9,459,5120,81093,3270,72703,507,39,353
2020\3\23,35,78,7,456,4735,81171,3277,73159,576,74,427
2020\3\24,33,47,4,491,4287,81281,3281,73650,628,47,474
2020\3\25,58,67,6,401,3947,81285,3287,74051,675,67,541
2020\3\26,49,55,5,537,3460,81340,3292,74588,738,54,595
