cities,comment,confirmedCount,continentEnglishName,continentName,countryEnglishName,countryName,curedCount,currentConfirmedCount,deadCount,locationId,provinceEnglishName,provinceName,provinceShortName,suspectedCount,updateTime,deadRate,curedRate
暂无,暂无,53,North America,北美洲,Bahamas,巴哈马,0,45,8,974002,Bahamas,巴哈马,巴哈马,0,1587175308673,0.1509,0.0
暂无,暂无,2564,Africa,非洲,Morocco,摩洛哥,281,2148,135,981004,Morocco,摩洛哥,摩洛哥,0,1587175308673,0.0527,0.1096
暂无,暂无,2224,Europe,欧洲,Greece,希腊,19,2097,108,965007,Greece,希腊,希腊,0,1587175308673,0.0486,0.0085
暂无,暂无,441,South America,南美洲,Bolivia,玻利维亚,0,412,29,973002,Bolivia,玻利维亚,玻利维亚,0,1587175308673,0.0658,0.0
暂无,暂无,696,Europe,欧洲,Andorra,安道尔,191,470,35,965002,Andorra,安道尔,安道尔,0,1587175308673,0.0503,0.2744
暂无,暂无,1740,Asia,亚洲,Bahrain,巴林,725,1008,7,955004,Bahrain,巴林,巴林,0,1587175308673,0.004,0.4167
暂无,暂无,6875,North America,北美洲,Mexico,墨西哥,1,6328,546,971003,Mexico,墨西哥,墨西哥,0,1587175308673,0.0794,0.0001
暂无,暂无,1380,Asia,亚洲,Uzbekistan,乌兹别克斯坦,129,1247,4,954005,Uzbekistan,乌兹别克斯坦,乌兹别克斯坦,0,1587175308673,0.0029,0.0935
暂无,暂无,19,Africa,非洲,Swaziland,斯威士兰,8,10,1,984010,Swaziland,斯威士兰,斯威士兰,0,1587175308673,0.0526,0.4211
暂无,暂无,32008,Europe,欧洲,Russia,俄罗斯,2590,29145,273,964006,Russia,俄罗斯,俄罗斯,0,1587175308673,0.0085,0.0809
暂无,暂无,30,Asia,亚洲,Nepal,尼泊尔,1,29,0,953005,Nepal,尼泊尔,尼泊尔,0,1587175308673,0.0,0.0333
暂无,暂无,78546,Asia,亚洲,Turkey,土耳其,8631,68146,1769,955018,Turkey,土耳其,土耳其,0,1587175308673,0.0225,0.1099
暂无,暂无,75,North America,北美洲,Barbados,巴巴多斯,0,70,5,974003,Barbados,巴巴多斯,巴巴多斯,0,1587175308673,0.0667,0.0
暂无,暂无,1304,Europe,欧洲,Slovenia,斯洛文尼亚,174,1064,66,965014,Slovenia,斯洛文尼亚,斯洛文尼亚,0,1587175308673,0.0506,0.1334
暂无,暂无,845,Asia,亚洲,Afghanistan,阿富汗,40,775,30,955001,Afghanistan,阿富汗,阿富汗,0,1587175308673,0.0355,0.0473
暂无,暂无,825,Europe,欧洲,Bulgaria,保加利亚,3,784,38,965004,Bulgaria,保加利亚,保加利亚,0,1587175308673,0.0461,0.0036
暂无,暂无,11,North America,北美洲,暂无,特克斯和凯科斯群岛,0,10,1,0,暂无,特克斯和凯科斯群岛,特克斯和凯科斯群岛,0,1587175308673,0.0909,0.0
暂无,暂无,219,Europe,欧洲,Bailiwick of Jersey,泽西岛,0,212,7,0,Bailiwick of Jersey,泽西岛,泽西岛,0,1587175308673,0.032,0.0
暂无,暂无,1754,Europe,欧洲,Iceland,冰岛,1224,521,9,962003,Iceland,冰岛,冰岛,0,1587175308673,0.0051,0.6978
暂无,暂无,108,Africa,非洲,Gabon,加蓬,7,100,1,983004,Gabon,加蓬,加蓬,0,1587175308673,0.0093,0.0648
暂无,暂无,5923,Asia,亚洲,Indonesia,印度尼西亚,607,4796,520,952005,Indonesia,印度尼西亚,印度尼西亚,0,1587175308673,0.0878,0.1025
暂无,暂无,96,Africa,非洲,Ethiopia,埃塞俄比亚,15,78,3,985004,Ethiopia,埃塞俄比亚,埃塞俄比亚,0,1587175308673,0.0312,0.1562
暂无,暂无,4779,Europe,欧洲,Belarus,白俄罗斯,342,4395,42,964001,Belarus,白俄罗斯,白俄罗斯,0,1587175308673,0.0088,0.0716
暂无,暂无,2418,Africa,非洲,Algeria,阿尔及利亚,846,1208,364,981001,Algeria,阿尔及利亚,阿尔及利亚,0,1587175308673,0.1505,0.3499
暂无,暂无,7073,Europe,欧洲,Denmark,丹麦,2748,3989,336,962001,Denmark,丹麦,丹麦,0,1587175308673,0.0475,0.3885
暂无,暂无,7,Oceania,大洋洲,Papua New Guinea,巴布亚新几内亚,0,7,0,990009,Papua New Guinea,巴布亚新几内亚,巴布亚新几内亚,0,1587175308673,0.0,0.0
暂无,暂无,394,Africa,非洲,Reunion,留尼旺,0,394,0,0,Reunion,留尼旺,留尼旺,0,1587175308673,0.0,0.0
暂无,暂无,190,Africa,非洲,Mali,马里,34,143,13,982010,Mali,马里,马里,0,1587175308673,0.0684,0.1789
暂无,暂无,159,North America,北美洲,Martinique,马提尼克,0,151,8,0,Martinique,马提尼克,马提尼克,0,1587175308673,0.0503,0.0
暂无,暂无,324,Africa,非洲,Mauritius,毛里求斯,108,207,9,984014,Mauritius,毛里求斯,毛里求斯,0,1587175308673,0.0278,0.3333
暂无,暂无,143,Africa,非洲,暂无,刚果（布）,11,126,6,0,暂无,刚果（布）,刚果（布）,0,1587175308673,0.042,0.0769
暂无,暂无,8450,South America,南美洲,Ecuador,厄瓜多尔,501,7528,421,973006,Ecuador,厄瓜多尔,厄瓜多尔,0,1587175308673,0.0498,0.0593
暂无,暂无,172434,Europe,欧洲,Italy,意大利,42727,106962,22745,965008,Italy,意大利,意大利,0,1587175308673,0.1319,0.2478
暂无,暂无,83,Africa,非洲,Togo,多哥,48,30,5,982016,Togo,多哥,多哥,0,1587175308673,0.0602,0.5783
暂无,暂无,5251,Asia,亚洲,Malaysia,马来西亚,2967,2198,86,952007,Malaysia,马来西亚,马来西亚,0,1587175308673,0.0164,0.565
暂无,暂无,108692,Europe,欧洲,United Kingdom,英国,344,93772,14576,961007,United Kingdom,英国,英国,0,1587175308673,0.1341,0.0032
暂无,暂无,196,North America,北美洲,Guatemala,危地马拉,0,191,5,972004,Guatemala,危地马拉,危地马拉,0,1587175308673,0.0255,0.0
暂无,暂无,17,Oceania,大洋洲,Fiji,斐济,0,17,0,990002,Fiji,斐济,斐济,0,1587175308673,0.0,0.0
暂无,暂无,76,Africa,非洲,Liberia,利比里亚,7,62,7,982009,Liberia,利比里亚,利比里亚,0,1587175308673,0.0921,0.0921
暂无,暂无,6937,Europe,欧洲,Norway,挪威,0,6776,161,962004,Norway,挪威,挪威,0,1587175308673,0.0232,0.0
暂无,暂无,9252,South America,南美洲,Chile,智利,3621,5515,116,973004,Chile,智利,智利,0,1587175308673,0.0125,0.3914
暂无,暂无,18,Asia,亚洲,暂无,东帝汶,0,18,0,952004,暂无,东帝汶,东帝汶,0,1587175308673,0.0,0.0
暂无,暂无,2700,Asia,亚洲,Thailand,泰国,1689,964,47,952010,Thailand,泰国,泰国,0,1587175308673,0.0174,0.6256
暂无,暂无,10653,Asia,亚洲,Korea,韩国,7937,2484,232,951004,Korea,韩国,韩国,0,1587175308673,0.0218,0.745
暂无,暂无,4662,Europe,欧洲,Ukraine,乌克兰,246,4291,125,964007,Ukraine,乌克兰,乌克兰,0,1587175308673,0.0268,0.0528
暂无,暂无,1117,Europe,欧洲,North Macedonia,北马其顿,139,929,49,0,North Macedonia,北马其顿,北马其顿,0,1587175308673,0.0439,0.1244
暂无,暂无,6,Africa,非洲,暂无,布隆迪共和国,0,5,1,0,暂无,布隆迪共和国,布隆迪共和国,0,1587175308673,0.1667,0.0
暂无,暂无,13329,Europe,欧洲,Sweden,瑞典,17,11870,1442,962005,Sweden,瑞典,瑞典,0,1587175308673,0.1082,0.0013
暂无,暂无,742,Africa,非洲,Ivory Coast,科特迪瓦,220,516,6,982004,Ivory Coast,科特迪瓦,科特迪瓦,0,1587175308673,0.0081,0.2965
暂无,暂无,1572,Asia,亚洲,Bangladesh,孟加拉国,42,1470,60,953001,Bangladesh,孟加拉国,孟加拉国,0,1587175308673,0.0382,0.0267
暂无,暂无,258,Europe,欧洲,Isle of Man,马恩岛,0,254,4,0,Isle of Man,马恩岛,马恩岛,0,1587175308673,0.0155,0.0
暂无,暂无,626,North America,北美洲,Costa Rica,哥斯达黎加,0,622,4,972002,Costa Rica,哥斯达黎加,哥斯达黎加,0,1587175308673,0.0064,0.0
暂无,暂无,8067,Europe,欧洲,Romania,罗马尼亚,1508,6148,411,965011,Romania,罗马尼亚,罗马尼亚,0,1587175308673,0.0509,0.1869
暂无,暂无,1763,Europe,欧洲,Hungary,匈牙利,207,1400,156,963004,Hungary,匈牙利,匈牙利,0,1587175308673,0.0885,0.1174
暂无,暂无,1459,Europe,欧洲,Estonia,爱沙尼亚,117,1304,38,964002,Estonia,爱沙尼亚,爱沙尼亚,0,1587175308673,0.026,0.0802
暂无,暂无,6499,Europe,欧洲,Czech Republic,捷克,1174,5152,173,963002,Czech Republic,捷克,捷克,0,1587175308673,0.0266,0.1806
暂无,暂无,109252,Europe,欧洲,France,法国,34420,56151,18681,961002,France,法国,法国,0,1587175308673,0.171,0.3151
暂无,暂无,7392,Asia,亚洲,Pakistan,巴基斯坦,1765,5490,137,953006,Pakistan,巴基斯坦,巴基斯坦,0,1587175308673,0.0185,0.2388
暂无,暂无,19022,Europe,欧洲,Portugal,葡萄牙,519,17846,657,965010,Portugal,葡萄牙,葡萄牙,0,1587175308673,0.0345,0.0273
暂无,暂无,3751,North America,北美洲,Panama,巴拿马,4,3644,103,972007,Panama,巴拿马,巴拿马,0,1587175308673,0.0275,0.0011
暂无,暂无,1482,Asia,亚洲,Iraq,伊拉克,906,495,81,955008,Iraq,伊拉克,伊拉克,0,1587175308673,0.0547,0.6113
暂无,暂无,1201,Asia,亚洲,Armenia,亚美尼亚,402,780,19,955002,Armenia,亚美尼亚,亚美尼亚,0,1587175308673,0.0158,0.3347
暂无,暂无,50,Africa,非洲,暂无,几内亚比绍,3,47,0,982008,暂无,几内亚比绍,几内亚比绍,0,1587175308673,0.0,0.06
暂无,暂无,147,Africa,非洲,Tanzania,坦桑尼亚,13,129,5,985009,Tanzania,坦桑尼亚,坦桑尼亚,0,1587175308673,0.034,0.0884
暂无,暂无,370,Asia,亚洲,Georgia,格鲁吉亚,77,290,3,955006,Georgia,格鲁吉亚,格鲁吉亚,0,1587175308673,0.0081,0.2081
暂无,暂无,125,North America,北美洲,Jamaica,牙买加,0,120,5,974009,Jamaica,牙买加,牙买加,0,1587175308673,0.04,0.0
暂无,暂无,13980,Europe,欧洲,Ireland,爱尔兰,62,13388,530,961003,Ireland,爱尔兰,爱尔兰,0,1587175308673,0.0379,0.0044
暂无,暂无,1658,Asia,亚洲,Kuwait,科威特,258,1395,5,955011,Kuwait,科威特,科威特,0,1587175308673,0.003,0.1556
暂无,暂无,2783,Africa,非洲,South Africa,南非,903,1830,50,984011,South Africa,南非,南非,0,1587175308673,0.018,0.3245
暂无,暂无,1814,Europe,欧洲,Croatia,克罗地亚,600,1178,36,965005,Croatia,克罗地亚,克罗地亚,0,1587175308673,0.0198,0.3308
暂无,暂无,57,North America,北美洲,暂无,荷属圣马丁,0,48,9,0,暂无,荷属圣马丁,荷属圣马丁,0,1587175308673,0.1579,0.0
