cities,comment,confirmedCount,continentEnglishName,continentName,countryEnglishName,countryFullName,countryName,curedCount,currentConfirmedCount,deadCount,locationId,provinceEnglishName,provinceName,provinceShortName,suspectedCount,updateTime,deadRate,curedRate
暂无,暂无,16659,Asia,亚洲,Israel,Israel,以色列,13435,2946,278,955009,Israel,以色列,以色列,0,1589940101951,0.0167,0.8065
暂无,暂无,146,Africa,非洲,Mozambique,Mozambique,莫桑比克,48,98,0,984008,Mozambique,莫桑比克,莫桑比克,0,1589940101951,0.0,0.3288
暂无,暂无,30572,Europe,欧洲,Belarus,Belarus,白俄罗斯,9932,20469,171,964001,Belarus,白俄罗斯,白俄罗斯,0,1589940101951,0.0056,0.3249
暂无,暂无,1502,Africa,非洲,Somali,Somalia,索马里,163,1280,59,985008,Somali,索马里,索马里,0,1589940101951,0.0393,0.1085
暂无,暂无,918,Asia,亚洲,Cyprus,Cyprus,塞浦路斯,504,388,26,955005,Cyprus,塞浦路斯,塞浦路斯,0,1589940101951,0.0283,0.549
暂无,暂无,734,South America,南美洲,Uruguay,Uruguay,乌拉圭,492,222,20,973011,Uruguay,乌拉圭,乌拉圭,0,1589940101951,0.0272,0.6703
暂无,暂无,46,Africa,非洲,Zimbabwe,Zimbabwe,津巴布韦,5,37,4,984013,Zimbabwe,津巴布韦,津巴布韦,0,1589940101951,0.087,0.1087
暂无,暂无,271628,South America,南美洲,Brazil,Brazil,巴西,106794,146863,17971,973003,Brazil,巴西,巴西,0,1589940101951,0.0662,0.3932
暂无,暂无,30514,Europe,欧洲,Switzerland,Switzerland,瑞士,27145,1767,1602,963008,Switzerland,瑞士,瑞士,0,1589940101951,0.0525,0.8896
暂无,暂无,12942,Asia,亚洲,Philippines,Philippines,菲律宾,2843,9262,837,952008,Philippines,菲律宾,菲律宾,0,1589940101951,0.0647,0.2197
暂无,暂无,1562,Europe,欧洲,Lithuania,Lithuania,立陶宛,1025,477,60,964004,Lithuania,立陶宛,立陶宛,0,1589940101951,0.0384,0.6562
暂无,暂无,8809,South America,南美洲,Argentina,Argentina,阿根廷,2534,5882,393,973001,Argentina,阿根廷,阿根廷,0,1589940101951,0.0446,0.2877
暂无,暂无,1043,Africa,非洲,Tunisia,Tunisia,突尼斯,819,178,46,981006,Tunisia,突尼斯,突尼斯,0,1589940101951,0.0441,0.7852
暂无,暂无,1495,Europe,欧洲,Slovakia,Slovakia,斯洛伐克,806,661,28,963007,Slovakia,斯洛伐克,斯洛伐克,0,1589940101951,0.0187,0.5391
暂无,暂无,55791,Europe,欧洲,Belgium,Belgium,比利时,14687,31996,9108,961001,Belgium,比利时,比利时,0,1589940101951,0.1633,0.2633
暂无,暂无,68,Africa,非洲,Libya,Libya,利比亚,35,30,3,981003,Libya,利比亚,利比亚,0,1589940101951,0.0441,0.5147
暂无,暂无,1153,Oceania,大洋洲,New Zealand,New Zealand,新西兰,1347,-215,21,990007,New Zealand,新西兰,新西兰,4,1589940101951,0.0182,1.1683
暂无,暂无,2259,Europe,欧洲,Bulgaria,Bulgaria,保加利亚,499,1648,112,965004,Bulgaria,保加利亚,保加利亚,0,1589940101951,0.0496,0.2209
暂无,暂无,558,Europe,欧洲,Malta,Malta,马耳他,367,185,6,965019,Malta,马耳他,马耳他,0,1589940101951,0.0108,0.6577
暂无,暂无,1467,Europe,欧洲,Slovenia,Slovenia,斯洛文尼亚,1335,28,104,965014,Slovenia,斯洛文尼亚,斯洛文尼亚,0,1589940101951,0.0709,0.91
暂无,暂无,16391,Asia,亚洲,Japan,Japan,日本,11415,4203,773,951002,Japan,日本,日本,0,1589940101951,0.0472,0.6964
暂无,暂无,1729,Asia,亚洲,Tajikstan,Tajikistan,塔吉克斯坦,493,1192,44,954003,Tajikstan,塔吉克斯坦,塔吉克斯坦,0,1589940101951,0.0254,0.2851
暂无,暂无,232037,Europe,欧洲,Spain,Spain,西班牙,150376,53883,27778,965015,Spain,西班牙,西班牙,0,1589940101951,0.1197,0.6481
暂无,暂无,28794,Asia,亚洲,Singapore,Singapore,新加坡,8342,20430,22,952009,Singapore,新加坡,新加坡,0,1589940101951,0.0008,0.2897
暂无,暂无,35606,Asia,亚洲,Qatar,Qatar,卡塔尔,5634,29957,15,955015,Qatar,卡塔尔,卡塔尔,0,1589940101951,0.0004,0.1582
暂无,暂无,13484,Africa,非洲,Egypt,Egypt,埃及,3742,9083,659,981002,Egypt,埃及,埃及,0,1589940101951,0.0489,0.2775
暂无,暂无,11044,Europe,欧洲,Denmark,Denmark,丹麦,9107,1386,551,962001,Denmark,丹麦,丹麦,0,1589940101951,0.0499,0.8246
